Posted Date,Last Updated Date,type_of_Vehicle,Brand Name,Model Name,Other Name,price,depreciation,reg_Date,mileage,road_Tax,dereg_Value,COE,engine_Cap,curb_Weight,transmission,OMV,ARF,fuel_Type,Vehicle ID,Vehicle DL,Vehicle Link,Unnamed: 0,dealers_names,dealers_links
24-Apr-2023,24-Apr-2023,Mid-Sized Sedan,Hyundai,Elantra,1.6A (COE till 04/2026),"$33,800","$11,200 /yr","16-Jun-2011
(3yrs 6days COE left)",N.A.,$886 /yr,"$12,766 as of today (change)","$21,142","1,591 cc","1,267 kg",Auto,"$13,830","$13,830",,ID=1191239,DL=1194,https://www.sgcarmart.com/used_cars/info.php?ID=1191239&DL=1194,781,GV Automobile Centre Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=1194
24-Apr-2023,24-Apr-2023,Mid-Sized Sedan,Mitsubishi,Attrage,1.2A,"$42,800","$10,660 /yr
View models with similar depre","03-Feb-2017
(3yrs 9mths 9days COE left)",N.A.,$506 /yr,"$22,514 as of today (change)","$50,951","1,193 cc",940 kg,Auto,"$13,671","$5,000",,ID=1191242,DL=1194,https://www.sgcarmart.com/used_cars/info.php?ID=1191242&DL=1194,781,GV Automobile Centre Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=1194
24-Apr-2023,24-Apr-2023,MPV,Proton,Exora,1.6A M-Line (COE till 12/2025),"$27,800","$10,330 /yr","11-Jan-2011
(2yrs 8mths 7days COE left)","130,658 km (10.6k /yr)",$965 /yr,"$10,036 as of today (change)","$18,652","1,597 cc","1,422 kg",Auto,"$14,114","$14,114",,ID=1191226,DL=1194,https://www.sgcarmart.com/used_cars/info.php?ID=1191226&DL=1194,781,GV Automobile Centre Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=1194
24-Apr-2023,24-Apr-2023,Hatchback,Honda,Jazz,1.5A RS,"$78,800","$13,990 /yr
View models with similar depre","02-May-2018
(5yrs 7days COE left)","62,000 km (12.4k /yr)",$684 /yr,"$31,283 as of today (change)","$36,810","1,498 cc","1,088 kg",Auto,"$17,050","$17,050",,ID=1190865,DL=1189,https://www.sgcarmart.com/used_cars/info.php?ID=1190865&DL=1189,111,Jie Heng Motoring,https://www.sgcarmart.com/used_cars/listing.php?DL=1189
24-Apr-2023,24-Apr-2023,Truck,Mitsubishi,Fuso,Super Great FV51S Tipper,"$101,600","$27,720 /yr
View models with similar depre","23-Dec-2016
(3yrs 7mths 28days COE left)",N.A.,N.A.,N.A.,"$51,209","11,967 cc","11,320 kg",Manual,"$103,800","$5,190",Diesel,ID=1191237,DL=3531,https://www.sgcarmart.com/used_cars/info.php?ID=1191237&DL=3531,906,Mah Lian Motor Vehicle Repairer,https://www.sgcarmart.com/used_cars/listing.php?DL=3531
24-Apr-2023,24-Apr-2023,MPV,BMW,216i,2 Series  Gran Tourer,"$119,800","$15,690 /yr
View models with similar depre","31-Jan-2020
(6yrs 9mths 6days COE left)","39,000 km (12.1k /yr)",$684 /yr,"$42,521 as of today (change)","$32,889","1,499 cc","1,490 kg",Auto,"$24,988","$26,984",,ID=1191244,DL=3826,https://www.sgcarmart.com/used_cars/info.php?ID=1191244&DL=3826,112,Le'Car Automotive Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3826
24-Apr-2023,24-Apr-2023,MPV,Toyota,Wish,1.8A X,"$82,800","$14,550 /yr
View models with similar depre","25-Apr-2018
(5yrs COE left)","92,000 km (18.4k /yr)",$976 /yr,"$34,917 as of today (change)","$39,903","1,798 cc","1,355 kg",Auto,"$19,955","$19,955",,ID=1190923,DL=3826,https://www.sgcarmart.com/used_cars/info.php?ID=1190923&DL=3826,112,Le'Car Automotive Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3826
24-Apr-2023,24-Apr-2023,Hatchback,Suzuki,Swift,1.4A Special Edition,"$43,888","$15,230 /yr
View models with similar depre","22-Oct-2015
(2yrs 5mths 27days COE left)","41,000 km (5.5k /yr)",$610 /yr,"$21,038 as of today (change)","$56,001","1,372 cc","1,055 kg",Auto,"$11,768","$11,768",,ID=1191235,DL=2295,https://www.sgcarmart.com/used_cars/info.php?ID=1191235&DL=2295,1143,Superb Cars,https://www.sgcarmart.com/used_cars/listing.php?DL=2295
24-Apr-2023,24-Apr-2023,SUV,Nissan,Qashqai,1.2A DIG-T,"$44,888","$14,240 /yr
View models with similar depre","28-Dec-2015
(2yrs 8mths 3days COE left)","138,000 km (18.8k /yr)",$508 /yr,"$23,935 as of today (change)","$59,200","1,197 cc","1,285 kg",Auto,"$18,454","$13,454",,ID=1191230,DL=2295,https://www.sgcarmart.com/used_cars/info.php?ID=1191230&DL=2295,1143,Superb Cars,https://www.sgcarmart.com/used_cars/listing.php?DL=2295
24-Apr-2023,24-Apr-2023,Luxury Sedan,Mercedes-Benz,C180K,C-Class  (COE till 04/2029),"$70,888","$11,770 /yr","14-May-2009
(6yrs 6days COE left)",N.A.,"$1,039 /yr","$15,762 as of today (change)","$26,175","1,597 cc","1,500 kg",Auto,"$37,582","$37,582",,ID=1191236,DL=2295,https://www.sgcarmart.com/used_cars/info.php?ID=1191236&DL=2295,1143,Superb Cars,https://www.sgcarmart.com/used_cars/listing.php?DL=2295
24-Apr-2023,24-Apr-2023,SUV,Nissan,Qashqai,1.2A DIG-T Premium,"$42,999","$14,430 /yr
View models with similar depre","29-Oct-2015
(2yrs 6mths 4days COE left)","120,000 km (16k /yr)",$508 /yr,"$22,459 as of today (change)","$57,301","1,197 cc","1,285 kg",Auto,"$18,413","$13,413",,ID=1191232,DL=3456,https://www.sgcarmart.com/used_cars/info.php?ID=1191232&DL=3456,947,Mutual Concept Motoring Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3456
24-Apr-2023,24-Apr-2023,Stationwagon,Honda,Airwave,1.5A M (COE till 09/2023),"$5,800",N.A.,"23-Sep-2008
(4mths 29days COE left)","155,000 km (10.6k /yr)","$1,023 /yr","$1,338 as of today (change)","$16,170","1,496 cc","1,160 kg",Auto,"$13,587","$13,587",,ID=1191248,DL=3283,https://www.sgcarmart.com/used_cars/info.php?ID=1191248&DL=3283,169,Platinum Motoring,https://www.sgcarmart.com/used_cars/listing.php?DL=3283
24-Apr-2023,24-Apr-2023,SUV,Hyundai,Tucson,2.0A GLS,"$75,800","$15,460 /yr
View models with similar depre","14-Aug-2017
(4yrs 3mths 20days COE left)",N.A.,"$1,212 /yr","$34,462 as of today (change)","$50,001","1,999 cc","1,540 kg",Auto,"$18,467","$18,467",,ID=1191194,DL=3337,https://www.sgcarmart.com/used_cars/info.php?ID=1191194&DL=3337,922,Midas Cars Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3337
24-Apr-2023,24-Apr-2023,Luxury Sedan,Mercedes-Benz,E200,E-Class  Exclusive,"$158,888","$26,140 /yr
View models with similar depre","15-Jan-2018
(4yrs 8mths 21days COE left)","120,000 km (22.8k /yr)","$1,202 /yr","$74,761 as of today (change)","$53,711","1,991 cc","1,605 kg",Auto,"$54,732","$70,518",,ID=1191229,DL=4432,https://www.sgcarmart.com/used_cars/info.php?ID=1191229&DL=4432,1007,Pit-Start Autosports Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=4432
24-Apr-2023,24-Apr-2023,Hatchback,Audi,A3,Sportback 1.8A TFSI (COE till 08/2030),"$86,800","$11,800 /yr","17-Sep-2010
(7yrs 4mths 7days COE left)",N.A.,"$1,269 /yr","$24,221 as of today (change)","$32,914","1,798 cc","1,335 kg",Auto,"$30,560","$30,560",,ID=1191228,DL=3122,https://www.sgcarmart.com/used_cars/info.php?ID=1191228&DL=3122,1086,SG Auto Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3122
24-Apr-2023,24-Apr-2023,SUV,BMW,X3,sDrive20i,"$163,800","$23,240 /yr
View models with similar depre","29-Mar-2019
(5yrs 11mths 4days COE left)","42,000 km (10.3k /yr)","$1,210 /yr","$62,268 as of today (change)","$39,401","1,998 cc","1,660 kg",Auto,"$42,759","$51,863",,ID=1191177,DL=4449,https://www.sgcarmart.com/used_cars/info.php?ID=1191177&DL=4449,491,Autobahnen Motors,https://www.sgcarmart.com/used_cars/listing.php?DL=4449
24-Apr-2023,24-Apr-2023,Luxury Sedan,Audi,A4,1.8A TFSI MU,"$30,800","$15,760 /yr
View models with similar depre","28-May-2014
(1yr 1mth 3days COE left)","125,961 km (14.1k /yr)",$976 /yr,"$22,369 as of today (change)","$68,103","1,798 cc","1,545 kg",Auto,"$32,239","$27,135",,ID=1191243,DL=3801,https://www.sgcarmart.com/used_cars/info.php?ID=1191243&DL=3801,660,D Car Trader Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=3801
24-Apr-2023,24-Apr-2023,SUV,Land Rover,Range,Rover Evoque 2.0A 5DR (COE till 10/2031),"$140,000","$16,420 /yr","30-Mar-2012
(8yrs 6mths 7days COE left)","74,000 km (6.7k /yr)","$1,333 /yr","$51,656 as of today (change)","$60,586","1,999 cc","1,720 kg",Auto,"$52,586","$52,586",,ID=1191224,DL=4120,https://www.sgcarmart.com/used_cars/info.php?ID=1191224&DL=4120,443,Alpha Autohaus Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=4120
24-Apr-2023,24-Apr-2023,Hatchback,Perodua,Myvi,1.3A X,"$85,000","$11,010 /yr
View models with similar depre","20-Oct-2020
(7yrs 5mths 25days COE left)","38,057 km (15.2k /yr)",$584 /yr,"$32,049 as of today (change)","$37,766","1,329 cc",985 kg,Auto,"$11,695","$5,000",,ID=1191225,DL=2245,https://www.sgcarmart.com/used_cars/info.php?ID=1191225&DL=2245,669,Delgrow Automotive,https://www.sgcarmart.com/used_cars/listing.php?DL=2245
24-Apr-2023,24-Apr-2023,Mid-Sized Sedan,Volkswagen,Jetta,GP 1.4A TSI Highline,"$36,800","$15,280 /yr
View models with similar depre","22-Jun-2015
(2yrs 1mth 28days COE left)","55,367 km (7.1k /yr)",$620 /yr,"$18,926 as of today (change)","$66,590","1,390 cc","1,417 kg",Auto,"$17,553","$7,553",,ID=1191220,DL=2814,https://www.sgcarmart.com/used_cars/info.php?ID=1191220&DL=2814,624,Centro Auto Pte Ltd,https://www.sgcarmart.com/used_cars/listing.php?DL=2814
